City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,kidal,18.4411,1.4078,32.69,9,98,3.79,ML,1675789947
422,jaisalmer,26.9147,70.9181,21.7,19,0,2.43,IN,1675789957
423,muros,42.7762,-9.0603,12.83,52,0,8.94,ES,1675789958
424,floro,61.5996,5.0328,5.54,87,75,4.63,NO,1675789958
425,copiapo,-27.3667,-70.3333,20.83,35,2,4.76,CL,1675789959
426,high rock,26.6208,-78.2833,24.01,61,8,7.23,BS,1675789959
427,atbasar,51.8,68.3333,-16.5,99,85,0.92,KZ,1675789960
428,gillette,44.2911,-105.5022,2.51,60,0,4.63,US,1675789726
429,miri,4.4148,114.0089,24.45,89,94,1.45,MY,1675789960
430,hervey bay,-25.2986,152.8535,25.11,64,21,6.4,AU,1675789961
431,brae,60.3964,-1.353,6.56,72,13,9.87,GB,1675789961
432,khor,47.8861,134.9464,-22.84,100,92,3.39,RU,1675789962
433,bereda,43.2686,-7.5406,6.9,86,16,3.96,ES,1675789962
434,lucapa,-8.4192,20.7447,20.21,88,89,1.45,AO,1675789963
435,verkhnetulomskiy,68.6073,31.7962,3.07,72,100,6.74,RU,1675789964
436,teya,60.3778,92.6267,-17.63,100,100,1.1,RU,1675789964
437,nizhniy kuranakh,58.8353,125.4869,-32.48,99,99,0.19,RU,1675789965
438,poronaysk,49.2167,143.1167,-22.78,99,99,1.41,RU,1675789965
439,tecpatan,17.1333,-93.3,25.95,51,4,0.4,MX,1675789965
440,ilheus,-14.7889,-39.0494,29.64,57,18,4.57,BR,1675789966
441,ostrovnoy,68.0531,39.5131,2.42,89,100,11.17,RU,1675789899
442,darlawn,24.0167,92.9,11.38,61,20,1.7,IN,1675789966
443,ostersund,63.1792,14.6357,2.25,93,0,2.57,SE,1675789967
444,adrar,20.5022,-10.0711,24.17,13,4,5.59,MR,1675789968
445,jieshi,22.8134,115.8257,17.45,85,32,8.5,CN,1675789969
446,banda aceh,5.5577,95.3222,25.19,87,91,2.13,ID,1675789731
447,podgorica,42.4411,19.2636,4.72,28,0,6.17,ME,1675789426
448,yarada,17.65,83.2667,22.18,88,74,1.03,IN,1675789969
449,nanortalik,60.1432,-45.2371,-12.93,62,6,12.37,GL,1675789970
450,zaysan,47.4667,84.8667,-9.63,85,98,1.18,KZ,1675789970
451,loandjili,-4.7561,11.8578,27.07,80,80,3.78,CG,1675789971
452,kapoeta,4.7717,33.5903,32.88,19,10,4.49,SS,1675789971
453,mandalgovi,45.7625,106.2708,-14.76,94,11,2.35,MN,1675789693
454,pitimbu,-7.4706,-34.8086,31.33,60,100,6.88,BR,1675789972
455,alibag,18.6411,72.8792,25.04,72,35,2.75,IN,1675789801
456,yar-sale,66.8333,70.8333,-22.96,98,45,4.69,RU,1675789923
457,nioro,13.35,-15.75,34.88,10,11,3.74,GM,1675789973
458,rodrigues alves,-7.738,-72.6509,23.62,95,98,1.72,BR,1675789878
459,broken hill,-31.95,141.4333,22.86,27,0,4.43,AU,1675789973
460,olden,61.8364,6.8064,5.06,99,100,2.3,NO,1675789974
461,boromlya,50.6184,34.9704,-7.94,89,14,4.79,UA,1675789974
462,muskegon heights,43.2011,-86.239,4.43,85,80,2.24,US,1675789974
463,gushikawa,26.3544,127.8686,19.57,88,75,0.0,JP,1675789975
464,peniche,39.3558,-9.3811,14.5,60,2,5.41,PT,1675789847
465,thunder bay,48.4001,-89.3168,-4.7,85,35,5.86,CA,1675789680
466,college,64.8569,-147.8028,-14.33,79,100,2.06,US,1675789971
467,mahon,39.8885,4.2658,11.31,82,75,12.35,ES,1675789976
468,san cristobal,7.7669,-72.225,28.21,41,42,3.47,VE,1675789729
469,sesimbra,38.4445,-9.1015,14.85,66,20,6.73,PT,1675789726
470,acolla,-11.7319,-75.5463,15.85,45,82,2.55,PE,1675789977
471,shizuishan,39.2333,106.7694,-2.45,48,48,1.21,CN,1675789978
472,cidreira,-30.1811,-50.2056,26.51,62,2,4.47,BR,1675789978
473,lalsot,26.5667,76.3333,16.1,34,0,2.39,IN,1675789978
474,kalga,50.9251,118.898,-27.48,100,67,1.3,RU,1675789979
475,bago,17.3367,96.4797,21.9,32,48,3.02,MM,1675789979
476,horodyshche,49.2849,31.4451,-5.28,85,80,5.15,UA,1675789980
477,naze,28.3667,129.4833,16.36,78,41,5.75,JP,1675789980
478,borskoye,53.0333,51.7167,-17.37,99,43,1.88,RU,1675789981
479,tuzha,57.6062,47.936,-19.06,100,91,2.09,RU,1675789981
480,chino valley,34.7575,-112.4538,5.34,47,0,4.12,US,1675789983
481,maneadero,31.7167,-116.5667,15.96,33,0,4.12,MX,1675789699
482,sisimiut,66.9395,-53.6735,-19.34,94,100,2.84,GL,1675789990
483,ati,13.2154,18.3353,28.43,12,11,5.01,TD,1675789852
484,wakema,16.6,95.1833,20.28,62,41,3.2,MM,1675789999
485,gasa,31.5,34.4667,9.38,59,91,10.62,PS,1675789816
486,kalamnuri,19.6667,77.3333,23.44,27,55,3.19,IN,1675789960
487,green river,41.5286,-109.4662,-2.78,91,60,3.23,US,1675789716
488,vila,42.0304,-8.1588,8.49,48,0,2.4,PT,1675790014
489,hami,42.8,93.45,0.56,47,100,1.23,CN,1675790015
490,terrace,54.5163,-128.6035,-4.74,94,90,0.54,CA,1675790016
491,tefe,-3.3542,-64.7114,30.06,70,75,1.03,BR,1675790017
492,portoferraio,42.8115,10.3146,8.07,46,1,7.22,IT,1675790017
493,yavaros,26.7,-109.5167,18.62,27,57,7.27,MX,1675790018
494,san policarpo,12.1791,125.5072,26.01,80,100,5.35,PH,1675790018
495,bhanpura,24.513,75.7469,19.19,26,0,1.91,IN,1675789506
496,almaznyy,48.0448,40.045,-7.7,86,99,8.85,RU,1675789966
497,yermakovskoye,53.2831,92.4003,-13.44,97,100,1.01,RU,1675789964
498,amboasary,-25.0333,46.3833,24.37,86,100,1.32,MG,1675790019
499,katangli,51.7102,143.2326,-20.83,100,100,1.73,RU,1675789900
500,umm kaddadah,13.6017,26.6876,21.97,18,12,7.29,SD,1675790020
501,nerchinskiy zavod,51.3088,119.61,-32.31,100,97,0.94,RU,1675790020
502,shaoxing,30.011,120.5715,8.97,87,98,1.93,CN,1675790021
503,pokrovsk,48.282,37.1758,-6.69,81,100,8.63,UA,1675790021
504,pangnirtung,66.1451,-65.7125,-33.54,91,10,0.86,CA,1675790021
505,balkanabat,39.5108,54.3671,13.84,36,100,1.24,TM,1675789778
506,ketchikan,55.3422,-131.6461,3.99,93,0,0.0,US,1675789765
507,biloela,-24.4167,150.5,20.28,80,18,4.24,AU,1675790022
508,sola,-13.8833,167.55,27.81,74,96,5.39,VU,1675790023
509,shanghai,31.2222,121.4581,8.29,65,0,4.0,CN,1675789545
510,acarau,-2.8856,-40.12,28.55,70,100,5.38,BR,1675789878
511,santo tomas,14.1079,121.1414,25.31,93,78,2.2,PH,1675790024
512,van,38.4924,43.3831,-3.36,93,75,3.6,TR,1675790024
513,sorochinsk,52.4338,53.1583,-18.41,99,40,2.18,RU,1675790025
514,fryanovo,56.1333,38.45,-16.69,100,65,1.61,RU,1675790025
